Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C23, C24",0603,4,12pF,
"C10, C11",0603,2,100pF,
C12,0603,1,820pF,
"C13, C16, C17, C22, C25, C4, C5",0603,7,4.7uF,
"C14, C18, C3",0603,3,1uF,
C15,0603,1,47nF,
"C19, C20, C21",0603,3,100nF,
C6,0603,1,0.8pF,
C7,0603,1,0.5pF,
C8,0603,1,N.C.,
C9,0603,1,10uF,
"D1, D10, D11, D12, D13, D14, D15, D2, D3, D4, D5, D6, D7, D8, D9",0603,15,D,
J1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Bat,
J2,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_USB2.0_16P,
J5,IDC-Header_2x03_P2.54mm_Horizontal,1,MAIN_CONN,
L1,0402,1,4.7nH,
"L2, L4",0603,2,10uH,
L3,0603,1,15nH,
LED1,1206,1,Charge_LED,
R1,0603,1,2k,
"R2, R3, R4",0603,3,10k,
R5,0603,1,10M,
"R6, R7",0603,2,5.1k,
SW1,SW_E-Switch_EG1224_SPDT_Angled,1,Power_Switch,
"SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",MX-Hotswap-1U,15,MX HotSwap,
SW45,SW_Push_1P1T_NO_CK_KMR2,1,SW_Push,
TP1,2816,1,Charge Boost,
U1,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,1,nRF52840,
U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,
U3,SOT-23-5,1,XC6220B331MR,
X1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768kHz,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,32Mhz,
