Designator,Mid X,Mid Y,Rotation,Layer
C1,187.796553,-92.183737,90.0,bottom
C10,185.346553,-106.346237,90.0,bottom
C11,189.309053,-99.383737,0.0,bottom
C12,182.321553,-93.971237,270.0,bottom
C13,177.821553,-103.021237,90.0,bottom
C14,189.446553,-101.596237,180.0,bottom
C15,189.446553,-103.096237,180.0,bottom
C16,182.321553,-107.846237,90.0,bottom
C17,179.934053,-105.433737,0.0,bottom
C18,186.846553,-106.333737,270.0,bottom
C19,176.896553,-97.208737,0.0,bottom
C2,194.871553,-96.183737,270.0,bottom
C20,176.946553,-98.733737,0.0,bottom
C21,189.309053,-97.896237,180.0,bottom
C22,183.846553,-107.846237,270.0,bottom
C23,193.996553,-105.246237,90.0,bottom
C24,192.984053,-107.658737,0.0,bottom
C25,164.971553,-100.996237,90.0,bottom
C3,170.546553,-100.983737,90.0,bottom
C4,173.534053,-97.583737,180.0,bottom
C5,172.684053,-103.483737,180.0,bottom
C6,186.421553,-94.896237,180.0,bottom
C7,184.109053,-90.458737,0.0,bottom
C8,184.134053,-88.658737,0.0,bottom
C9,168.971553,-102.246237,90.0,bottom
D1,88.246553,-74.408737,90.0,bottom
D10,145.246553,-69.658737,90.0,bottom
D11,145.246553,-88.658737,90.0,bottom
D12,145.246553,-107.908737,90.0,bottom
D13,164.246553,-74.408737,90.0,bottom
D14,164.246553,-93.658737,90.0,bottom
D15,164.246553,-112.658737,90.0,bottom
D2,88.246553,-93.658737,90.0,bottom
D3,87.996553,-112.658737,90.0,bottom
D4,107.246553,-64.908737,90.0,bottom
D5,106.996553,-83.908737,90.0,bottom
D6,106.996553,-102.908737,90.0,bottom
D7,125.996553,-60.158737,90.0,bottom
D8,126.246553,-79.158737,90.0,bottom
D9,126.246553,-98.408737,90.0,bottom
J1,175.496553,-81.533737,270.0,bottom
J2,193.541553,-80.008737,270.0,bottom
J5,172.491553,-119.606237,270.0,bottom
L1,185.484053,-92.996237,90.0,bottom
L2,188.446553,-105.383737,90.0,bottom
L3,189.946553,-105.371237,270.0,bottom
L4,183.096553,-105.408737,180.0,bottom
LED1,194.915303,-73.158737,180.0,top
R1,158.009053,-95.358737,0.0,bottom
R2,162.346553,-101.833737,0.0,bottom
R3,170.171553,-97.583737,0.0,bottom
R4,191.815303,-73.196237,90.0,top
R5,168.996553,-105.621237,270.0,bottom
R6,189.171553,-77.633737,90.0,top
R7,195.221553,-81.546237,270.0,top
SW1,190.996553,-63.983737,270.0,bottom
SW10,134.298803,-92.919856,180.0,bottom
SW11,153.348803,-64.344856,180.0,bottom
SW12,153.348803,-83.394856,180.0,bottom
SW13,153.348803,-102.444856,180.0,bottom
SW14,172.398803,-69.107356,180.0,bottom
SW15,172.398803,-88.157356,180.0,bottom
SW16,172.398803,-107.207356,180.0,bottom
SW2,96.198803,-69.107356,180.0,bottom
SW3,96.198803,-88.157356,180.0,bottom
SW4,96.198803,-107.207356,180.0,bottom
SW45,184.2,-60.0,270.0,top
SW5,115.248803,-59.582356,180.0,bottom
SW6,115.248803,-78.632356,180.0,bottom
SW7,115.248803,-97.682356,180.0,bottom
SW8,134.298803,-54.819856,180.0,bottom
SW9,134.298803,-73.869856,180.0,bottom
TP1,159.696553,-98.583737,0.0,bottom
U1,183.096553,-100.158737,90.0,bottom
U2,173.521553,-100.596237,270.0,bottom
U3,166.109053,-104.383737,180.0,bottom
X1,192.096553,-105.408737,90.0,bottom
Y1,191.396553,-94.183737,180.0,bottom
