Designator,Mid X,Mid Y,Rotation,Layer
C1,189.396553,-93.533737,90.0,bottom
C10,186.946553,-107.696237,90.0,bottom
C11,190.909053,-100.733737,0.0,bottom
C12,183.921553,-95.321237,270.0,bottom
C13,179.421553,-104.371237,90.0,bottom
C14,191.046553,-102.946237,180.0,bottom
C15,191.046553,-104.446237,180.0,bottom
C16,183.921553,-109.196237,90.0,bottom
C17,181.534053,-106.783737,0.0,bottom
C18,188.446553,-107.683737,270.0,bottom
C19,178.496553,-98.558737,0.0,bottom
C2,196.471553,-97.533737,270.0,bottom
C20,178.546553,-100.083737,0.0,bottom
C21,190.909053,-99.246237,180.0,bottom
C22,185.446553,-109.196237,270.0,bottom
C23,195.596553,-106.596237,90.0,bottom
C24,194.584053,-109.008737,0.0,bottom
C25,166.571553,-102.346237,90.0,bottom
C26,226.775,-108.0375,270.0,bottom
C27,225.275,-108.025,270.0,bottom
C28,222.3,-95.65,90.0,bottom
C29,229.3375,-97.65,180.0,bottom
C3,172.146553,-102.333737,90.0,bottom
C30,229.3125,-107.125,180.0,bottom
C31,219.2625,-88.475,0.0,bottom
C32,226.1125,-92.575,180.0,bottom
C33,229.3625,-99.175,0.0,bottom
C34,218.1,-95.6625,270.0,bottom
C35,216.8375,-103.175,180.0,bottom
C36,223.775,-108.0375,90.0,bottom
C37,229.2125,-103.725,0.0,bottom
C38,229.3125,-108.6,180.0,bottom
C39,223.8,-95.6875,90.0,bottom
C4,175.134053,-98.933737,180.0,bottom
C40,225.275,-95.675,90.0,bottom
C41,231.5375,-100.7,0.0,bottom
C42,231.5375,-102.2,0.0,bottom
C43,234.9875,-102.925,90.0,bottom
C44,227.075,-85.15,270.0,bottom
C45,232.5375,-103.6875,180.0,bottom
C46,229.4625,-87.0375,180.0,bottom
C47,230.8375,-81.2625,180.0,bottom
C48,217.8,-100.7125,90.0,bottom
C49,214.9375,-99.7,0.0,bottom
C5,174.284053,-104.833737,180.0,bottom
C50,216.6,-97.2625,90.0,bottom
C6,188.021553,-96.246237,180.0,bottom
