Designator,Mid X,Mid Y,Rotation,Layer
D37,233.255925,-150.364783,90.0,bottom
D38,246.547105,-181.718785,0.0,bottom
D39,265.611043,-181.683531,0.0,bottom
D40,214.0,-150.217025,90.0,bottom
D41,213.923115,-169.225194,90.0,bottom
D42,214.054964,-188.371825,90.0,bottom
J7,257.414741,-143.540786,180.0,bottom
SW39,241.19502,-144.970516,180.0,bottom
SW40,241.19502,-173.545516,90.0,bottom
SW41,260.24502,-173.545516,90.0,bottom
SW42,222.14502,-144.970516,180.0,bottom
SW43,222.14502,-164.020516,180.0,bottom
SW44,222.14502,-183.070516,180.0,bottom
