Designator,Mid X,Mid Y,Rotation,Layer
C26,216.517891,-135.776714,270.0,bottom
C27,215.017891,-135.764214,270.0,bottom
C28,212.042891,-123.389214,90.0,bottom
C29,219.080391,-125.389214,180.0,bottom
C30,219.055391,-134.864214,180.0,bottom
C31,209.005391,-116.214214,0.0,bottom
C32,215.855391,-120.314214,180.0,bottom
C33,219.105391,-126.914214,0.0,bottom
C34,207.842891,-123.401714,270.0,bottom
C35,206.580391,-130.914214,180.0,bottom
C36,213.517891,-135.776714,90.0,bottom
C37,218.955391,-131.464214,0.0,bottom
C38,219.055391,-136.339214,180.0,bottom
C39,213.542891,-123.426714,90.0,bottom
C40,215.017891,-123.414214,90.0,bottom
C41,221.280391,-128.439214,0.0,bottom
C42,221.280391,-129.939214,0.0,bottom
C43,224.730391,-130.664214,90.0,bottom
C44,216.817891,-112.889214,270.0,bottom
C45,222.280391,-131.426714,180.0,bottom
C46,219.205391,-114.776714,180.0,bottom
C47,220.580391,-109.001714,180.0,bottom
C48,207.542891,-128.451714,90.0,bottom
C49,204.680391,-127.439214,0.0,bottom
C50,206.342891,-125.001714,90.0,bottom
D22,295.992891,-103.857107,90.0,bottom
D23,295.742891,-122.857107,90.0,bottom
D24,295.742891,-141.857107,90.0,bottom
D25,276.742891,-94.107107,90.0,bottom
D26,276.742891,-113.357107,90.0,bottom
D27,276.742891,-132.357107,90.0,bottom
D28,257.742891,-89.607107,90.0,bottom
D29,257.742891,-108.357107,90.0,bottom
D30,257.742891,-127.607107,90.0,bottom
D31,238.742891,-98.982107,90.0,bottom
D32,238.492891,-118.107107,90.0,bottom
D33,238.742891,-137.107107,90.0,bottom
D34,219.492891,-103.857107,90.0,bottom
D35,219.742891,-122.857107,90.0,bottom
D36,219.492891,-141.857107,90.0,bottom
J3,226.067891,-110.364214,90.0,bottom
J4,206.667891,-109.389214,90.0,bottom
J6,227.677891,-148.909214,270.0,bottom
L5,216.567891,-123.151714,90.0,bottom
L6,218.102891,-123.126714,270.0,bottom
L7,218.780391,-133.114214,180.0,bottom
L8,205.645391,-129.439214,0.0,bottom
LED2,205.742891,-101.989214,0.0,top
R10,226.242891,-132.851714,270.0,bottom
R11,217.817891,-108.464214,90.0,bottom
R12,209.242891,-102.476714,270.0,top
R13,210.992891,-111.239214,270.0,bottom
R14,206.242891,-107.401714,90.0,top
R8,234.080391,-131.229214,0.0,bottom
R9,237.155391,-124.739214,180.0,bottom
SW24,303.967891,-98.419607,180.0,bottom
SW25,303.967891,-117.469607,180.0,bottom
SW26,303.967891,-136.519607,180.0,bottom
SW27,284.917891,-88.894607,180.0,bottom
SW28,284.917891,-107.944607,180.0,bottom
SW29,284.917891,-126.994607,180.0,bottom
SW30,265.867891,-84.132107,180.0,bottom
SW31,265.867891,-103.182107,180.0,bottom
SW32,265.867891,-122.232107,180.0,bottom
SW33,246.817891,-93.657107,180.0,bottom
SW34,246.817891,-112.707107,180.0,bottom
SW35,246.817891,-131.757107,180.0,bottom
SW36,227.767891,-98.419607,180.0,bottom
SW37,227.767891,-117.469607,180.0,bottom
SW38,227.767891,-136.519607,180.0,bottom
SW46,216.042891,-88.989214,90.0,top
TP2,235.492891,-127.989214,0.0,bottom
U4,212.767891,-129.589214,0.0,bottom
U5,222.917891,-133.851714,180.0,bottom
U6,219.692891,-111.864214,270.0,bottom
X2,218.492891,-129.164214,90.0,bottom
Y2,211.442891,-119.364214,180.0,bottom
